ev;kategoria;indoklas;dijazott_azon;nev;szemely_nev;szemely_teljes_nev;nem;szuletesi_ev;szuletesi_datum;szuletesi_hely;szervezet_nev;rovidites;alapitas_eve;jelleg;hovatartozas_1;hovatartozas_2;hovatartozas_3;hovatartozas_4
1945;Béke;for his indefatigable work for international understanding and his pivotal role in establishing the United Nations;505;Cordell Hull;Cordell Hull;Cordell Hull;férfi;;1871-10-02;Észak-Amerika;;;;Személy;;;;
1945;Orvosi;for the discovery of penicillin and its curative effect in various infectious diseases;340;Ernst B. Chain;Ernst B. Chain;Ernst Boris Chain;férfi;;1906-06-19;Európa;;;;Személy;University of Oxford, Oxford, United Kingdom;;;
1945;Irodalmi;for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world;615;Gabriela Mistral;Gabriela Mistral;Gabriela Mistral;nő;;1889-04-07;Dél-Amerika;;;;Személy;;;;
1945;Orvosi;for the discovery of penicillin and its curative effect in various infectious diseases;339;Sir Alexander Fleming;Sir Alexander Fleming;Sir Alexander Fleming;férfi;;1881-08-06;Európa;;;;Személy;London University, London, United Kingdom;;;
1945;Orvosi;for the discovery of penicillin and its curative effect in various infectious diseases;341;Sir Howard Florey;Sir Howard Florey;Sir Howard Walter Florey;férfi;;1898-09-24;Óceánia;;;;Személy;University of Oxford, Oxford, United Kingdom;;;
1945;Fizikai;for the discovery of the Exclusion Principle, also called the Pauli Principle;50;Wolfgang Pauli;Wolfgang Pauli;Wolfgang Pauli;férfi;;1900-04-25;Európa;;;;Személy;Princeton University, Princeton, NJ, USA;;;
1946;Béke;for her lifelong work for the cause of peace;506;Emily Greene Balch;Emily Greene Balch;Emily Greene Balch;nő;;1867-01-08;Észak-Amerika;;;;Személy;;;;
1946;Irodalmi;for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style;617;Hermann Hesse;Hermann Hesse;Hermann Hesse;férfi;;1877-07-02;Európa;;;;Személy;;;;
1946;Orvosi;for the discovery of the production of mutations by means of X-ray irradiation;342;Hermann J. Muller;Hermann J. Muller;Hermann Joseph Muller;férfi;;1890-12-21;Észak-Amerika;;;;Személy;Indiana University, Bloomington, IN, USA;;;
1946;Kémiai;for his discovery that enzymes can be crystallized;204;James B. Sumner;James B. Sumner;James Batcheller Sumner;férfi;;1887-11-19;Észak-Amerika;;;;Személy;Cornell University, Ithaca, NY, USA;;;
1946;Kémiai;for their preparation of enzymes and virus proteins in a pure form;205;John H. Northrop;John H. Northrop;John Howard Northrop;férfi;;1891-07-05;Észak-Amerika;;;;Személy;Rockefeller Institute for Medical Research, Princeton, NJ, USA;;;
1946;Béke;for his contribution to the creation of a peace-promoting religious brotherhood across national boundaries;507;John R. Mott;John R. Mott;John Raleigh Mott;férfi;;1865-05-25;Észak-Amerika;;;;Személy;;;;
1946;Fizikai;for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics;51;Percy W. Bridgman;Percy W. Bridgman;Percy Williams Bridgman;férfi;;1882-04-21;Észak-Amerika;;;;Személy;Harvard University, Cambridge, MA, USA;;;
1946;Kémiai;for their preparation of enzymes and virus proteins in a pure form;206;Wendell M. Stanley;Wendell M. Stanley;Wendell Meredith Stanley;férfi;;1904-08-16;Észak-Amerika;;;;Személy;Rockefeller Institute for Medical Research, Princeton, NJ, USA;;;
1947;Béke;for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations;509;American Friends Service Committee;;;;;;;American Friends Service Committee;AFSC;1917;Szervezet;;;;
1947;Irodalmi;for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight;618;André Gide;André Gide;André Paul Guillaume Gide;férfi;;1869-11-22;Európa;;;;Személy;;;;
1947;Orvosi;for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar;345;Bernardo Houssay;Bernardo Houssay;Bernardo Alberto Houssay;férfi;;1887-04-10;Dél-Amerika;;;;Személy;Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine), Buenos Aires, Argentina;;;
1947;Orvosi;for their discovery of the course of the catalytic conversion of glycogen;343;Carl Cori;Carl Cori;Carl Ferdinand Cori;férfi;;1896-12-05;Európa;;;;Személy;Washington University, St. Louis, MO, USA;;;
1947;Fizikai;for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer;52;Edward V. Appleton;Edward V. Appleton;Sir Edward Victor Appleton;férfi;;1892-09-06;Európa;;;;Személy;Department of Scientific and Industrial Research, London, United Kingdom;;;
1947;Béke;for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations;508;Friends Service Council;;;;;;;Friends Service Council;;1647;Szervezet;;;;
1947;Orvosi;for their discovery of the course of the catalytic conversion of glycogen;344;Gerty Cori;Gerty Cori;Gerty Theresa Cori, née Radnitz;nő;;1896-08-15;Európa;;;;Személy;Washington University, St. Louis, MO, USA;;;
1947;Kémiai;for his investigations on plant products of biological importance, especially the alkaloids;207;Sir Robert Robinson;Sir Robert Robinson;Sir Robert Robinson;férfi;;1886-09-13;Európa;;;;Személy;University of Oxford, Oxford, United Kingdom;;;
1948;Kémiai;for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins;208;Arne Tiselius;Arne Tiselius;Arne Wilhelm Kaurin Tiselius;férfi;;1902-08-10;Európa;;;;Személy;Uppsala University, Uppsala, Sweden;;;
1948;Fizikai;for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation;53;Patrick M.S. Blackett;Patrick M.S. Blackett;Patrick Maynard Stuart Blackett;férfi;;1897-11-18;Európa;;;;Személy;Victoria University, Manchester, United Kingdom;;;
1948;Orvosi;for his discovery of the high efficiency of DDT as a contact poison against several arthropods;346;Paul Müller;Paul Müller;Paul Hermann Müller;férfi;;1899-01-12;Európa;;;;Személy;Laboratorium der Farben-Fabriken J.R. Geigy A.G. (Laboratory of the J.R. Geigy Dye-Factory Co.), Basel, Switzerland;;;
1948;Irodalmi;for his outstanding, pioneer contribution to present-day poetry;619;T.S. Eliot;T.S. Eliot;Thomas Stearns Eliot;férfi;;1888-09-26;Észak-Amerika;;;;Személy;;;;
1949;Orvosi;for his discovery of the therapeutic value of leucotomy in certain psychoses;348;Egas Moniz;Egas Moniz;Antonio Caetano de Abreu Freire Egas Moniz;férfi;;1874-11-29;Európa;;;;Személy;University of Lisbon, Lisbon, Portugal;Neurological Institute, Lisbon, Portugal;;
1949;Fizikai;for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces;54;Hideki Yukawa;Hideki Yukawa;Hideki Yukawa;férfi;;1907-01-23;Ázsia;;;;Személy;Kyoto Imperial University, Kyoto, Japan;Columbia University, New York, NY, USA;;
1949;Béke;for his lifelong effort to conquer hunger and want, thereby helping to remove a major cause of military conflict and war;510;Lord Boyd Orr;Lord Boyd Orr;John Boyd Orr, Baron Boyd-Orr of Brechin Mearn;férfi;;1880-09-23;Európa;;;;Személy;;;;
1949;Orvosi;for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs;347;Walter Hess;Walter Hess;Walter Rudolf Hess;férfi;;1881-03-17;Európa;;;;Személy;University of Zurich, Zurich, Switzerland;;;
1949;Kémiai;for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures;209;William F. Giauque;William F. Giauque;William Francis Giauque;férfi;;1895-05-12;Észak-Amerika;;;;Személy;University of California, Berkeley, CA, USA;;;
1949;Irodalmi;for his powerful and artistically unique contribution to the modern American novel;620;William Faulkner;William Faulkner;William Faulkner;férfi;;1897-09-25;Észak-Amerika;;;;Személy;;;;
1950;Irodalmi;in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought;621;Bertrand Russell;Bertrand Russell;Earl (Bertrand Arthur William) Russell;férfi;;1872-05-18;Európa;;;;Személy;;;;
1950;Fizikai;for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method;55;Cecil Powell;Cecil Powell;Cecil Frank Powell;férfi;;1903-12-05;Európa;;;;Személy;Bristol University, Bristol, United Kingdom;;;
1950;Orvosi;for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects;349;Edward C. Kendall;Edward C. Kendall;Edward Calvin Kendall;férfi;;1886-03-08;Észak-Amerika;;;;Személy;Mayo Clinic, Rochester, MN, USA;;;
1950;Kémiai;for their discovery and development of the diene synthesis;211;Kurt Alder;Kurt Alder;Kurt Alder;férfi;;1902-07-10;Európa;;;;Személy;Cologne University, Cologne, Germany;;;
1950;Kémiai;for their discovery and development of the diene synthesis;210;Otto Diels;Otto Diels;Otto Paul Hermann Diels;férfi;;1876-01-23;Európa;;;;Személy;Kiel University, Kiel, Germany;;;
1950;Orvosi;for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects;351;Philip S. Hench;Philip S. Hench;Philip Showalter Hench;férfi;;1896-02-28;Észak-Amerika;;;;Személy;Mayo Clinic, Rochester, MN, USA;;;
1950;Béke;for his work as mediator in Palestine in 1948-1949;511;Ralph Bunche;Ralph Bunche;Ralph Bunche;férfi;;1904-08-07;Észak-Amerika;;;;Személy;Harvard University, Cambridge, MA, USA;;;
1950;Orvosi;for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects;350;Tadeus Reichstein;Tadeus Reichstein;Tadeus Reichstein;férfi;;1897-07-20;Európa;;;;Személy;Basel University, Basel, Switzerland;;;
1951;Kémiai;for their discoveries in the chemistry of the transuranium elements;212;Edwin M. McMillan;Edwin M. McMillan;Edwin Mattison McMillan;férfi;;1907-09-18;Észak-Amerika;;;;Személy;University of California, Berkeley, CA, USA;;;
1951;Fizikai;for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles;57;Ernest T.S. Walton;Ernest T.S. Walton;Ernest Thomas Sinton Walton;férfi;;1903-10-06;Európa;;;;Személy;Trinity College, Dublin, Ireland;;;
1951;Kémiai;for their discoveries in the chemistry of the transuranium elements;213;Glenn T. Seaborg;Glenn T. Seaborg;Glenn Theodore Seaborg;férfi;;1912-04-19;Észak-Amerika;;;;Személy;University of California, Berkeley, CA, USA;;;
1951;Fizikai;for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles;56;John Cockcroft;John Cockcroft;Sir John Douglas Cockcroft;férfi;;1897-05-27;Európa;;;;Személy;Atomic Energy Research Establishment, Harwell, Berkshire, United Kingdom;;;
1951;Béke;for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations;512;Léon Jouhaux;Léon Jouhaux;Léon Jouhaux;férfi;;1879-07-01;Európa;;;;Személy;;;;
1951;Orvosi;for his discoveries concerning yellow fever and how to combat it;352;Max Theiler;Max Theiler;Max Theiler;férfi;;1899-01-30;Afrika;;;;Személy;Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation, New York, NY, USA;;;
1951;Irodalmi;for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind;622;Pär Lagerkvist;Pär Lagerkvist;Pär Fabian Lagerkvist;férfi;;1891-05-23;Európa;;;;Személy;;;;
1952;Béke;for his altruism, reverence for life, and tireless humanitarian work  which has helped making the idea of brotherhood between men and nations a living one;513;Albert Schweitzer;Albert Schweitzer;Albert Schweitzer;férfi;;1875-01-14;Európa;;;;Személy;;;;
1952;Kémiai;for their invention of partition chromatography;214;Archer J.P. Martin;Archer J.P. Martin;Archer John Porter Martin;férfi;;1910-03-01;Európa;;;;Személy;National Institute for Medical Research, London, United Kingdom;;;
1952;Fizikai;for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith;59;E. M. Purcell;E. M. Purcell;Edward Mills Purcell;férfi;;1912-08-30;Észak-Amerika;;;;Személy;Harvard University, Cambridge, MA, USA;;;
1952;Fizikai;for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith;58;Felix Bloch;Felix Bloch;Felix Bloch;férfi;;1905-10-23;Európa;;;;Személy;Stanford University, Stanford, CA, USA;;;
1952;Irodalmi;for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life;623;François Mauriac;François Mauriac;François Mauriac;férfi;;1885-10-11;Európa;;;;Személy;;;;
1952;Kémiai;for their invention of partition chromatography;215;Richard L.M. Synge;Richard L.M. Synge;Richard Laurence Millington Synge;férfi;;1914-10-28;Európa;;;;Személy;Rowett Research Institute, Bucksburn (Scotland), United Kingdom;;;
1952;Orvosi;for his discovery of streptomycin, the first antibiotic effective against tuberculosis;353;Selman A. Waksman;Selman A. Waksman;Selman Abraham Waksman;férfi;;1888-07-22;Európa;;;;Személy;Rutgers University, New Brunswick, NJ, USA;;;
1953;Fizikai;for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope;60;Frits Zernike;Frits Zernike;Frits Zernike;férfi;;1888-07-16;Európa;;;;Személy;Groningen University, Groningen, the Netherlands;;;
1953;Orvosi;for his discovery of co-enzyme A and its importance for intermediary metabolism;355;Fritz Lipmann;Fritz Lipmann;Fritz Albert Lipmann;férfi;;1899-06-12;Európa;;;;Személy;Harvard Medical School, Boston, MA, USA;Massachusetts General Hospital, Boston, MA, USA;;
1953;Béke;for proposing and supervising the plan for the economic recovery of Europe;514;George C. Marshall;George C. Marshall;George Catlett Marshall;férfi;;1880-12-31;Észak-Amerika;;;;Személy;;;;
1953;Orvosi;for his discovery of the citric acid cycle;354;Hans Krebs;Hans Krebs;Hans Adolf Krebs;férfi;;1900-08-25;Európa;;;;Személy;Sheffield University, Sheffield, United Kingdom;;;
1953;Kémiai;for his discoveries in the field of macromolecular chemistry;216;Hermann Staudinger;Hermann Staudinger;Hermann Staudinger;férfi;;1881-03-23;Európa;;;;Személy;University of Freiburg, Breisgau, Germany;Staatliches Institut für makromolekulare Chemie (State Research Institute for Macromolecular Chemistry), Freiburg, Breisgau, Germany;;
1953;Irodalmi;for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values;624;Winston Churchill;Winston Churchill;Sir Winston Leonard Spencer Churchill;férfi;;1874-11-30;Európa;;;;Személy;;;;
1954;Irodalmi;for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style;625;Ernest Hemingway;Ernest Hemingway;Ernest Miller Hemingway;férfi;;1899-07-21;Észak-Amerika;;;;Személy;;;;
1954;Orvosi;for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue;358;Frederick C. Robbins;Frederick C. Robbins;Frederick Chapman Robbins;férfi;;1916-08-25;Észak-Amerika;;;;Személy;Western Reserve University, Cleveland, OH, USA;;;
1954;Orvosi;for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue;356;John F. Enders;John F. Enders;John Franklin Enders;férfi;;1897-02-10;Észak-Amerika;;;;Személy;Harvard Medical School, Boston, MA, USA;Research Division of Infectious Diseases, Children's Medical Center, Boston, MA, USA;;
1954;Fizikai;for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction;61;Max Born;Max Born;Max Born;férfi;;1882-12-11;Európa;;;;Személy;Edinburgh University, Edinburgh, United Kingdom;;;
1954;Béke;for its efforts to heal the wounds of war by providing help and protection to refugees all over the world;515;Office of the United Nations High Commissioner for Refugees;;;;;;;Office of the United Nations High Commissioner for Refugees;UNHCR;1951;Szervezet;;;;
1954;Orvosi;for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue;357;Thomas H. Weller;Thomas H. Weller;Thomas Huckle Weller;férfi;;1915-06-15;Észak-Amerika;;;;Személy;Research Division of Infectious Diseases, Children's Medical Center, Boston, MA, USA;;;
1954;Fizikai;for the coincidence method and his discoveries made therewith;62;Walther Bothe;Walther Bothe;Walther Bothe;férfi;;1891-01-08;Európa;;;;Személy;University of Heidelberg, Heidelberg, Germany;Max-Planck-Institut für medizinische Forschung, Heidelberg, Germany;;
1954;Kémiai;for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances;217;Linus Pauling;Linus Pauling;Linus Carl Pauling;férfi;;1901-02-28;Észak-Amerika;;;;Személy;California Institute of Technology (Caltech), Pasadena, CA, USA;;;
1955;Irodalmi;for his vivid epic power which has renewed the great narrative art of Iceland;626;Halldór Laxness;Halldór Laxness;Halldór Kiljan Laxness;férfi;;1902-04-23;Európa;;;;Személy;;;;
1955;Orvosi;for his discoveries concerning the nature and mode of action of oxidation enzymes;359;Hugo Theorell;Hugo Theorell;Axel Hugo Theodor Theorell;férfi;;1903-07-06;Európa;;;;Személy;Karolinska Institutet, Nobel Medical Institute, Stockholm, Sweden;;;
1955;Fizikai;for his precision determination of the magnetic moment of the electron;64;Polykarp Kusch;Polykarp Kusch;Polykarp Kusch;férfi;;1911-01-26;Európa;;;;Személy;Columbia University, New York, NY, USA;;;
1955;Kémiai;for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone;218;Vincent du Vigneaud;Vincent du Vigneaud;Vincent du Vigneaud;férfi;;1901-05-18;Észak-Amerika;;;;Személy;Cornell University, Ithaca, NY, USA;;;
1955;Fizikai;for his discoveries concerning the fine structure of the hydrogen spectrum;63;Willis E. Lamb;Willis E. Lamb;Willis Eugene Lamb;férfi;;1913-07-12;Észak-Amerika;;;;Személy;Stanford University, Stanford, CA, USA;;;
1956;Orvosi;for their discoveries concerning heart catheterization and pathological changes in the circulatory system;360;André F. Cournand;André F. Cournand;André Frédéric Cournand;férfi;;1895-09-24;Európa;;;;Személy;Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital, New York, NY, USA;;;
1956;Orvosi;for their discoveries concerning heart catheterization and pathological changes in the circulatory system;362;Dickinson W. Richards;Dickinson W. Richards;Dickinson W. Richards;férfi;;1895-10-30;Észak-Amerika;;;;Személy;Columbia University, New York, NY, USA;;;
1956;Fizikai;for their researches on semiconductors and their discovery of the transistor effect;66;John Bardeen;John Bardeen;John Bardeen;férfi;;1908-05-23;Észak-Amerika;;;;Személy;University of Illinois, Urbana, IL, USA;;;
1956;Irodalmi;for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity;627;Juan Ramón Jiménez;Juan Ramón Jiménez;Juan Ramón Jiménez;férfi;;1881-12-24;Európa;;;;Személy;;;;
1956;Kémiai;for their researches into the mechanism of chemical reactions;220;Nikolay Semenov;Nikolay Semenov;Nikolay Nikolaevich Semenov;férfi;;1896-04-03;Európa;;;;Személy;Institute for Chemical Physics of the Academy of Sciences of the USSR, Moscow, USSR (now Russia);Lomonosov Moscow State University, Moscow, USSR (now Russia);;
1956;Kémiai;for their researches into the mechanism of chemical reactions;219;Sir Cyril Hinshelwood;Sir Cyril Hinshelwood;Sir Cyril Norman Hinshelwood;férfi;;1897-05-19;Európa;;;;Személy;University of Oxford, Oxford, United Kingdom;;;
1956;Fizikai;for their researches on semiconductors and their discovery of the transistor effect;67;Walter H. Brattain;Walter H. Brattain;Walter Houser Brattain;férfi;;1902-02-10;Ázsia;;;;Személy;Bell Telephone Laboratories, Murray Hill, NJ, USA;;;
1956;Orvosi;for their discoveries concerning heart catheterization and pathological changes in the circulatory system;361;Werner Forssmann;Werner Forssmann;Werner Forssmann;férfi;;1904-08-29;Európa;;;;Személy;Mainz University, Mainz, Germany;;;
1956;Fizikai;for their researches on semiconductors and their discovery of the transistor effect;65;William B. Shockley;William B. Shockley;William Bradford Shockley;férfi;;1910-02-13;Európa;;;;Személy;Semiconductor Laboratory of Beckman Instruments, Inc., Mountain View, CA, USA;;;
1957;Irodalmi;for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times;628;Albert Camus;Albert Camus;Albert Camus;férfi;;1913-11-07;Afrika;;;;Személy;;;;
1957;Fizikai;for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles;68;Chen Ning Yang;Chen Ning Yang;Chen Ning Yang;férfi;;1922-09-22;Ázsia;;;;Személy;Institute for Advanced Study, Princeton, NJ, USA;;;
1957;Orvosi;for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles;363;Daniel Bovet;Daniel Bovet;Daniel Bovet;férfi;;1907-03-23;Európa;;;;Személy;Istituto Superiore di Sanità (Chief Institute of Public Health), Rome, Italy;;;
1957;Béke;for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis;516;Lester Bowles Pearson;Lester Bowles Pearson;Lester Bowles Pearson;férfi;;1897-04-23;Észak-Amerika;;;;Személy;;;;
1957;Kémiai;for his work on nucleotides and nucleotide co-enzymes;221;Lord Todd;Lord Todd;Lord (Alexander R.) Todd;férfi;;1907-10-02;Európa;;;;Személy;University of Cambridge, Cambridge, United Kingdom;;;
1957;Fizikai;for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles;69;Tsung-Dao Lee;Tsung-Dao Lee;Tsung-Dao (T.D.) Lee;férfi;;1926-11-24;Ázsia;;;;Személy;Columbia University, New York, NY, USA;;;
1958;Irodalmi;for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition;629;Boris Pasternak;Boris Pasternak;Boris Leonidovich Pasternak;férfi;;1890-02-10;Európa;;;;Személy;;;;
1958;Orvosi;for their discovery that genes act by regulating definite chemical events;365;Edward Tatum;Edward Tatum;Edward Lawrie Tatum;férfi;;1909-12-14;Észak-Amerika;;;;Személy;Rockefeller Institute for Medical Research, New York, NY, USA;;;
1958;Kémiai;for his work on the structure of proteins, especially that of insulin;222;Frederick Sanger;Frederick Sanger;Frederick Sanger;férfi;;1918-08-13;Európa;;;;Személy;University of Cambridge, Cambridge, United Kingdom;;;
1958;Orvosi;for their discovery that genes act by regulating definite chemical events;364;George Beadle;George Beadle;George Wells Beadle;férfi;;1903-10-22;Észak-Amerika;;;;Személy;California Institute of Technology (Caltech), Pasadena, CA, USA;;;
1958;Béke;for his efforts to help refugees to leave their camps and return to a life of freedom and dignity;517;Georges Pire;Georges Pire;Georges Pire;férfi;;1910-02-10;Európa;;;;Személy;;;;
1958;Fizikai;for the discovery and the interpretation of the Cherenkov effect;71;Igor Y. Tamm;Igor Y. Tamm;Igor Yevgenyevich Tamm;férfi;;1895-07-08;Európa;;;;Személy;Lomonosov Moscow State University, Moscow, USSR (now Russia);P.N. Lebedev Physical Institute, Moscow, USSR (now Russia);;
1958;Fizikai;for the discovery and the interpretation of the Cherenkov effect;721;Il´ja M. Frank;Il´ja M. Frank;Il´ja Mikhailovich Frank;férfi;;1908-10-23;Európa;;;;Személy;Lomonosov Moscow State University, Moscow, USSR (now Russia);P.N. Lebedev Physical Institute, Moscow, USSR (now Russia);;
1958;Orvosi;for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria;366;Joshua Lederberg;Joshua Lederberg;Joshua Lederberg;férfi;;1925-05-23;Észak-Amerika;;;;Személy;University of Wisconsin, Madison, WI, USA;;;
1958;Fizikai;for the discovery and the interpretation of the Cherenkov effect;70;Pavel A. Cherenkov;Pavel A. Cherenkov;Pavel Alekseyevich Cherenkov;férfi;;1904-07-28;Európa;;;;Személy;P.N. Lebedev Physical Institute, Moscow, USSR (now Russia);;;
1959;Orvosi;for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid;368;Arthur Kornberg;Arthur Kornberg;Arthur Kornberg;férfi;;1918-03-03;Észak-Amerika;;;;Személy;Stanford University, Stanford, CA, USA;;;
1959;Fizikai;for their discovery of the antiproton;72;Emilio Segrè;Emilio Segrè;Emilio Gino Segrè;férfi;;1905-02-01;Európa;;;;Személy;University of California, Berkeley, CA, USA;;;
1959;Kémiai;for his discovery and development of the polarographic methods of analysis;223;Jaroslav Heyrovsky;Jaroslav Heyrovsky;Jaroslav Heyrovsky;férfi;;1890-12-20;Európa;;;;Személy;Polarographic Institute of the Czechoslovak Academy of Science, Prague, Czechoslovakia (now Czech Republic);;;
1959;Fizikai;for their discovery of the antiproton;73;Owen Chamberlain;Owen Chamberlain;Owen Chamberlain;férfi;;1920-07-10;Észak-Amerika;;;;Személy;University of California, Berkeley, CA, USA;;;
1959;Béke;for his longstanding contribution to the cause of disarmament and peace;518;Philip Noel-Baker;Philip Noel-Baker;Philip J. Noel-Baker;férfi;;1889-11-01;Európa;;;;Személy;;;;
1959;Irodalmi;for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times;630;Salvatore Quasimodo;Salvatore Quasimodo;Salvatore Quasimodo;férfi;;1901-08-20;Európa;;;;Személy;;;;
1959;Orvosi;for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid;367;Severo Ochoa;Severo Ochoa;Severo Ochoa;férfi;;1905-09-24;Európa;;;;Személy;New York University, College of Medicine, New York, NY, USA;;;
1960;Béke;for his non-violent struggle against apartheid;519;Albert Luthuli;Albert Luthuli;Albert John Luthuli;férfi;1898;;Afrika;;;;Személy;;;;
1960;Fizikai;for the invention of the bubble chamber;74;Donald A. Glaser;Donald A. Glaser;Donald Arthur Glaser;férfi;;1926-09-21;Észak-Amerika;;;;Személy;University of California, Berkeley, CA, USA;;;
1960;Orvosi;for discovery of acquired immunological tolerance;370;Peter Medawar;Peter Medawar;Peter Brian Medawar;férfi;;1915-02-28;Dél-Amerika;;;;Személy;University College, London, United Kingdom;;;
1960;Irodalmi;for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time;631;Saint-John Perse;Saint-John Perse;Saint-John Perse;férfi;;1887-05-31;Észak-Amerika;;;;Személy;;;;
1960;Orvosi;for discovery of acquired immunological tolerance;369;Sir Frank Macfarlane Burnet;Sir Frank Macfarlane Burnet;Sir Frank Macfarlane Burnet;férfi;;1899-09-03;Óceánia;;;;Személy;Walter and Eliza Hall Institute for Medical Research, Melbourne, Australia;;;
1960;Kémiai;for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science;224;Willard F. Libby;Willard F. Libby;Willard Frank Libby;férfi;;1908-12-17;Észak-Amerika;;;;Személy;University of California, Los Angeles, CA, USA;;;
1961;Béke;for developing the UN into an effective and constructive international organization, capable of giving life to the principles and aims expressed in the UN Charter;520;Dag Hammarskjöld;Dag Hammarskjöld;Dag Hjalmar Agne Carl Hammarskjöld;férfi;;1905-07-29;Európa;;;;Személy;;;;
1961;Orvosi;for his discoveries of the physical mechanism of stimulation within the cochlea;371;Georg von Békésy;Georg von Békésy;Georg von Békésy;férfi;;1899-06-03;Európa;;;;Személy;Harvard University, Cambridge, MA, USA;;;
1961;Irodalmi;for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country;633;Ivo Andric;Ivo Andric;Ivo Andric;férfi;;1892-10-10;Európa;;;;Személy;;;;
1961;Kémiai;for his research on the carbon dioxide assimilation in plants;225;Melvin Calvin;Melvin Calvin;Melvin Calvin;férfi;;1911-04-08;Észak-Amerika;;;;Személy;University of California, Berkeley, CA, USA;;;
1961;Fizikai;for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons;75;Robert Hofstadter;Robert Hofstadter;Robert Hofstadter;férfi;;1915-02-05;Észak-Amerika;;;;Személy;Stanford University, Stanford, CA, USA;;;
1961;Fizikai;for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name;76;Rudolf Mössbauer;Rudolf Mössbauer;Rudolf Ludwig Mössbauer;férfi;;1929-01-31;Európa;;;;Személy;Technical University, Munich, Germany;California Institute of Technology (Caltech), Pasadena, CA, USA;;
1962;Orvosi;for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material;372;Francis Crick;Francis Crick;Francis Harry Compton Crick;férfi;;1916-06-08;Európa;;;;Személy;MRC Laboratory of Molecular Biology, Cambridge, United Kingdom;;;
