dal_azon;cim;hely_azon;hangszer1;hangszer2;hangszer3;hangszer4;hangszer5;hangszer6;hangszer7;hangszer8;mufaj1;mufaj2;mufaj3;mufaj4;tanc;felvetel_azon;youtube_id;kezdete;vege
396;fysouni;71;Percussion;Laouto;Klarino;;;;;;Traditional;Epirotic;;;0;396;tbbAWeVEHFQ;4403;4755
397;fysouni-2;71;Violin;Tambouras;Percussion;Laouto;;;;;Traditional;Epirotic;;;0;397;vzCauXf6VhE;10;358
398;gaitan;73;Percussion;Lyra;Laouto;;;;;;Traditional;Pontian;;;1;398;VmaUraZpvI8;4331;4483
399;galata-manes;19;Voice;Violin;Santouri;Percussion;Oud;Kanonaki;;;Traditional;Mikrasiatiko;Politiko;;0;399;5fJXkyrSxo4;1361;1634
400;gali-gali-kato-panagia-m-asias;65;Voice;;;;;;;;Traditional;Mikrasiatiko;;;1;400;kJl_glSyJMo;4633;4750
401;gamilio-syrto-makedonias;64;Violin;Santouri;Percussion;Laouto;Klarino;;;;Traditional;Macedonian;;;0;401;U6oWHEVNvfY;639;783
402;gaouristines;32;Violin;Laouto;;;;;;;Traditional;Nisiotiko;Aegean;;1;402;CJ7m2WduEh8;5634;5716
403;gargan-i-leilek-choronou;73;Zournas;Percussion;;;;;;;Traditional;Pontian;;;1;403;i6kJdvFwCoA;3543;3684
404;gastouriotikos;4;Violin;Guitar;Accordion;;;;;;Traditional;Nisiotiko;Ionian;;1;404;t60GoECE0p8;1620;1806
405;geia-sou-peiraia-athanate;;Voice;Guitar;Bouzouki;Baglamas;;;;;Rebetiko;;;;0;405;IzjFkYASGbY;224;465
406;gela-agapa-kai-tragouda;;Trumpet;Trombone;Percussion;Klarino;Accordion;;;;Urban-folk;Urban-light;;;1;406;dIqJ-N3_Tso;5664;5774
407;genovefa-2;39;Violin;Percussion;Laouto;;;;;;Traditional;Epirotic;;;0;407;guoEekslQ2M;5499;5745
408;genovefa-tasos-chalkias;39;Violin;Percussion;Laouto;Klarino;Guitar;;;;Traditional;Epirotic;;;1;408;G9DwnuVgsVs;972;1164
409;geragotikos-syrtos-lesvos;2;Violin;Santouri;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;1;409;CPLOoAZonTI;1202;1292
410;gia-ides-pervolin;72;Voice;Laouto;Kanonaki;Bass;;;;;Traditional;Nisiotiko;Cretan;;0;410;Dd0IreIlLJE;2789;2890
411;gia-mas-kelaidoun-ta-poulia;;Voice;Violin;Piano;Guitar;Bass;Accordion;;;Urban-folk;Urban-light;;;0;411;Desg3iWdxGU;195;343
412;gia-mia-fora-ein-i-leventia;29;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;1;412;niplI7Bv-30;2050;2217
413;gia-mia-papadopoula;71;Voice;Violin;Tambouras;Percussion;Ney;Laouto;Bass;;Traditional;Epirotic;;;0;413;vzCauXf6VhE;3233;3404
414;gia-mia-vradia-syrtos;12;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;Vlachic;;1;414;wFOvhBpFM1o;5313;5415
415;gia-mia-xanthoula;;Voice;Guitar;Bouzouki;Baglamas;Accordion;;;;Rebetiko;;;;0;415;YEPmaDr_UMA;1436;1617
416;gia-piase-gyfto-sfyri-ki-amoni;;Voice;Guitar;Bouzouki;Bass;Accordion;;;;Laiko;;;;0;416;vl46xtCpsEw;4822;5006
417;gia-poia-ellada;;Voice;Piano;Guitar;Bouzouki;Bass;Accordion;;;Newer;;;;0;417;cKXi8_5_Rd4;4556;4821
418;gia-sena-rousa-m-evala;40;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;0;418;qrOwc1mLFUk;4264;4412
419;gia-tin-ellada;;Voice;Piano;Mandolin;Guitar;Bass;Accordion;;;Newer;;;;0;419;cKXi8_5_Rd4;5425;5657
420;giaeli;3;Voice;Lyra;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;0;420;4mMJSlECbh4;1056;1254
421;giala-choros-isos;67;Voice;Violin;Santouri;Percussion;Laouto;Guitar;;;Traditional;Nisiotiko;Aegean;;1;421;5z-ZGft2zCI;4868;4994
422;gialeli;72;Voice;Tambouras;Percussion;Ney;Guitar;;;;Rebetiko;Cretan;;;0;422;XpfvGga-5tU;3634;3828
423;gialo-gialo;41;Voice;Mandolin;Guitar;Bass;;;;;Traditional;Nisiotiko;Ionian;;0;423;GgGRYZMKezE;6;162
424;gialo-gialo-2;41;Voice;Violin;Mandolin;Laouto;Guitar;;;;Traditional;Nisiotiko;Ionian;;0;424;Aws0Y3aLaIs;5695;5947
425;giann-kostas;29;Violin;Percussion;Laouto;Klarino;;;;;Traditional;Epirotic;;;1;425;niplI7Bv-30;2409;2590
426;giannos-ti-maro-thelei;62;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Thracian;;;1;426;FXS9jCtkFLk;4308;4564
427;giar-giar-2;33;Violin;Santouri;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;1;427;jpktBKou-_E;1847;1910
428;giaroubi;13;Voice;Percussion;Oud;Lyra;;;;;Urban-folk;Mikrasiatiko;;;1;428;-YUXPO1BSRw;2465;2658
429;giati-allaxes-giati-stelios-keromytis-kostas-manesis;;Voice;Guitar;Bouzouki;Baglamas;Accordion;;;;Rebetiko;;;;0;429;L3fe3KGksU8;2850;3034
430;giati-einai-mavra-ta-vouna;71;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;1;430;niplI7Bv-30;1518;1739
431;giavri;34;Voice;Violin;Percussion;Laouto;Bass;;;;Traditional;Nisiotiko;Aegean;;1;431;V-8YVU5FnTo;3369;3554
432;giorgitsa;65;Voice;Percussion;Oud;Lyra;;;;;Traditional;Mikrasiatiko;;;1;432;-YUXPO1BSRw;2194;2436
433;giorgitsa-2;65;Voice;Violin;Tambouras;Percussion;Oud;Laouto;Klarino;Kanonaki;Traditional;Mikrasiatiko;;;1;433;6ZDyC-wpRXM;2687;2853
434;gioula;20;Voice;;;;;;;;Traditional;Peloponnesian;;;0;434;6bLFhgwoKsY;709;802
435;gioulia;63;Voice;Violin;Percussion;Laouto;Klarino;Guitar;;;Traditional;Central-Greek;;;1;435;GIOAt5GHt3I;1122;1293
436;giourvalantoum;73;Voice;Violin;Percussion;Oud;;;;;Traditional;Pontian;;;1;436;i6kJdvFwCoA;1542;1668
437;gkainta-arvanitiki;;Violin;Percussion;Oud;Klarino;Guitar;Bass;;;Traditional;Arvanitic;;;1;437;g4hypPA6D9Y;4140;4188
438;gkainta-dipli;17;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;1;438;ifRo_Z05kuQ;3183;3327
439;gkainta-manolis-papageorgiou;64;Violin;Percussion;Laouto;Klarino;Guitar;;;;Traditional;Macedonian;;;1;439;G9DwnuVgsVs;2231;2435
440;gkainta-moni;17;Violin;Percussion;Laouto;Klarino;;;;;Traditional;Epirotic;;;1;440;ifRo_Z05kuQ;3328;3490
441;gkainta-moni-2;17;Violin;Percussion;Laouto;Klarino;;;;;Traditional;Epirotic;;;0;441;KzKkszPd-eM;2522;2771
442;gkioumia;64;Trumpet;Trombone;Percussion;Klarino;;;;;Traditional;Macedonian;;;1;442;gMz1OBS9FlQ;5957;6036
443;gkiouzen-oglan;13;Mandolin;Guitar;Bass;Accordion;;;;;Traditional;Mikrasiatiko;;;0;443;VrnG_gxNwH8;1832;2086
444;gkolfo;71;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;1;444;niplI7Bv-30;5558;5715
445;glenta-kaimeni-mou-kardia;69;Voice;;;;;;;;Traditional;Peloponnesian;;;1;445;6bLFhgwoKsY;5736;5975
446;glentate-kosme-ti-zoi;42;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Nisiotiko;Aegean;;0;446;8gH9iexkXME;1009;1194
447;glentzes;13;Voice;Violin;Guitar;Cimbalom;Bass;Accordion;;;Urban-folk;Mikrasiatiko;;;0;447;TpK-XXFl51o;43;166
448;glyka-mou-matia;;Voice;Piano;;;;;;;Urban-folk;Urban-light;;;0;448;Desg3iWdxGU;1541;1730
449;glykia-mou-poli;19;Voice;Violin;Santouri;Percussion;Oud;Guitar;;;Traditional;Mikrasiatiko;Politiko;;1;449;5fJXkyrSxo4;819;978
450;glyko-parapono-2;;Voice;Guitar;Bass;Accordion;;;;;Newer;;;;0;450;VrnG_gxNwH8;3845;4093
451;gramma;66;Voice;Violin;Guitar;;;;;;Traditional;Southern-Italian;;;0;451;l2gUntzxeVc;4006;4225
452;grava;71;Percussion;Laouto;Klarino;;;;;;Traditional;Epirotic;;;0;452;tbbAWeVEHFQ;2170;2483
453;grigoros-xechoristos;64;Trumpet;Trombone;Percussion;Klarino;;;;;Traditional;Macedonian;;;1;453;gMz1OBS9FlQ;5717;5796
454;gyalo-gyalo;17;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;1;454;8gH9iexkXME;5768;5989
455;gyrevontas-se;;Voice;Guitar;;;;;;;Newer;;;;0;455;2_xwDiunBrs;4701;4937
456;gyrisma-kari-bati;64;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Macedonian;Vlachic;;1;456;gMz1OBS9FlQ;2377;2461
457;gyrisma-more-psili-more-ligni;12;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;Vlachic;;1;457;wFOvhBpFM1o;4834;5054
458;gyrisma-se-pogonisio-rebap;17;Violin;Tambouras;Percussion;Laouto;;;;;Traditional;Epirotic;;;0;458;vzCauXf6VhE;1653;1942
459;gyrismata-krania;17;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;0;459;KzKkszPd-eM;3842;3995
460;i-agapi-sou-m-aresei;67;Voice;Violin;Santouri;Percussion;Laouto;Guitar;;;Traditional;Nisiotiko;Aegean;;1;460;5z-ZGft2zCI;3810;3884
461;i-argo;;Tambouras;Percussion;Ney;Guitar;;;;;Newer;;;;0;461;XpfvGga-5tU;1816;2030
462;i-chontrobalou;;Voice;Piano;Mandolin;Guitar;Bass;Accordion;;;Newer;Melodized-poetry;;;0;462;cKXi8_5_Rd4;732;1030
463;i-dikia-mou-ellada;;Voice;Piano;Mandolin;Guitar;Bass;Accordion;;;Newer;;;;0;463;cKXi8_5_Rd4;4303;4514
464;i-evgenoula-i-omorfi;43;Voice;Percussion;Lyra;;;;;;Traditional;Macedonian;;;0;464;4mMJSlECbh4;5086;5259
465;i-foni-tou-argile;;Voice;Violin;Santouri;Laouto;Kanonaki;Guitar;;;Rebetiko;;;;0;465;0cj8BNcAhg4;2991;3128
466;i-gkarsona;;Voice;Percussion;Guitar;Bouzouki;Bass;Accordion;;;Laiko;;;;1;466;pxhw04LZhiY;893;1143
467;i-kithara-tou-patera;;Voice;Violin;Piano;Guitar;Bass;Accordion;;;Urban-folk;Urban-light;;;0;467;Desg3iWdxGU;4479;4686
468;i-kota-vasilis-saleas;44;Violin;Percussion;Laouto;Klarino;Guitar;;;;Traditional;Central-Greek;;;1;468;G9DwnuVgsVs;5372;5518
469;i-lafina-dioxe-me-mana;63;Violin;Laouto;Klarino;Guitar;;;;;Traditional;Central-Greek;;;0;469;G9DwnuVgsVs;6122;6210
470;i-milia;;Voice;Violin;Klarino;Accordion;;;;;Urban-folk;Urban-light;;;0;470;vJ4F64WkQA0;3265;3350
471;i-palia-taverna;;Voice;Mandolin;Guitar;Bass;;;;;Urban-folk;Urban-light;;;0;471;GgGRYZMKezE;242;467
472;i-paragka;;Voice;Piano;Guitar;Bass;Accordion;;;;Newer;;;;0;472;cKXi8_5_Rd4;3159;3254
473;i-parastratimeni;;Voice;Guitar;Bouzouki;Bass;Accordion;;;;Laiko;;;;0;473;vl46xtCpsEw;713;906
474;i-parastratimeni-2;;Voice;Piano;Guitar;Bouzouki;Bass;Accordion;;;Laiko;;;;0;474;tzCMruLs9bM;4401;4597
475;i-perdika;38;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;Polyphonic;;1;475;UaYoyQPZEuo;2750;2837
476;i-prosfygia;;Voice;Guitar;Bouzouki;Bass;Accordion;;;;Laiko;;;;0;476;vl46xtCpsEw;4562;4752
477;i-proti-agapi-sou;;Voice;Guitar;Bouzouki;Accordion;;;;;Laiko;;;;0;477;GQoE6eVqP38;3920;4135
478;i-rima-tis-katastrofis-tis-chiou;5;Voice;Kanonaki;;;;;;;Traditional;Nisiotiko;Aegean;;0;478;J-PqcxTXtp4;766;995
479;i-trata;74;Voice;Violin;Santouri;Laouto;;;;;Traditional;Nisiotiko;Euboean;;1;479;Zy8tjrTf4sg;5079;5246
480;i-tzavelaina;71;Voice;Violin;Tambouras;Percussion;Laouto;;;;Traditional;Epirotic;;;0;480;cYE9_TXCmHs;3364;3759
481;i-valitsa;;Voice;Piano;Guitar;Bouzouki;Bass;Accordion;;;Laiko;;;;0;481;zkoqg3VRVLA;666;744
482;i-varka-tou-koutsouradi;32;Voice;Violin;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;0;482;CJ7m2WduEh8;976;1181
483;i-vergo;26;Voice;;;;;;;;Traditional;Peloponnesian;;;1;483;o4XzhbCL0QM;3181;3279
484;i-vrisi-ton-pegiotisson;77;Voice;Percussion;Ney;Lyra;Laouto;Kanonaki;Bass;;Traditional;Nisiotiko;Cypriot;;0;484;Dd0IreIlLJE;1132;1353
485;i-xaveriotissa;;Voice;Guitar;Bouzouki;Baglamas;;;;;Rebetiko;;;;1;485;IzjFkYASGbY;4381;4607
486;ikariotikos;1;Violin;Santouri;Laouto;Guitar;;;;;Traditional;Nisiotiko;Aegean;;1;486;5z-ZGft2zCI;5190;5335
487;ikariotikos-2;1;Violin;Santouri;Laouto;Bass;;;;;Traditional;Nisiotiko;Aegean;;1;487;q9e6UQh6d0c;2924;3137
488;ikariotikos-3;1;Violin;Santouri;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;1;488;CPLOoAZonTI;3520;3754
489;ikariotikos-4;1;Violin;Santouri;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;0;489;EoJoqvZukgw;3553;3752
490;ilie-mou-kai-an-kaneis-ilio;;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Sarakatsani;;;1;490;FXS9jCtkFLk;4129;4305
491;ilios;69;Violin;Percussion;Laouto;Klarino;;;;;Traditional;Peloponnesian;;;1;491;o4XzhbCL0QM;2044;2252
492;ilios-2;63;Violin;Percussion;Laouto;Klarino;Guitar;Bass;;;Traditional;Central-Greek;;;1;492;g4hypPA6D9Y;2885;3111
493;ipeirotika-gyrismata;17;Violin;Percussion;Laouto;Klarino;Guitar;Bass;;;Traditional;Epirotic;;;1;493;g4hypPA6D9Y;5117;5342
494;irth-i-labri-ki-i-anoixi;67;Voice;Violin;Santouri;Laouto;Bass;;;;Traditional;Nisiotiko;Aegean;;1;494;q9e6UQh6d0c;42;218
495;irth-o-kairos-na-fygoume;71;Voice;Floghera;;;;;;;Traditional;Epirotic;;;0;495;FXS9jCtkFLk;5927;6034
496;irth-o-kairos-na-fygoume-2;71;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;1;496;ifRo_Z05kuQ;6281;6597
497;irthan-karavia-sto-gialo-ierissou;21;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Macedonian;;;0;497;4yPS8r0qVTw;5858;6039
498;ithela-na-cha-dyo-kardies-lesvos;2;Voice;Violin;Santouri;Laouto;;;;;Traditional;Nisiotiko;Aegean;;1;498;CPLOoAZonTI;838;1060
499;kadikoylu;78;Voice;Violin;Santouri;Percussion;Oud;Kanonaki;;;Traditional;Turkish;;;0;499;5fJXkyrSxo4;2817;2980
500;kagkelari;40;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;0;500;qrOwc1mLFUk;4004;4100
501;kagkelaris;71;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;1;501;5z-ZGft2zCI;1597;1909
502;kai-giati-de-mas-to-les;;Voice;Guitar;;;;;;;Rebetiko;;;;0;502;ysRZQuuew_A;333;456
503;kai-ti-tragoudi-na-vroume;62;Voice;Violin;Tsampouna;Percussion;Oud;Lyra;Accordion;;Traditional;Thracian;;;0;503;fooYiNew79E;1964;2197
504;kai-tou-christou-sto-synoro;62;Voice;Violin;Tsampouna;Percussion;Oud;Lyra;Klarino;;Traditional;Thracian;;;1;504;fooYiNew79E;2263;2568
505;kaigomai-kaigomai;;Voice;Piano;Guitar;Bouzouki;Bass;Accordion;;;Rebetiko;;;;0;505;tzCMruLs9bM;3206;3451
506;kaiki-mou-ai-nikola;;Voice;Guitar;Bouzouki;Bass;Accordion;;;;Laiko;;;;1;506;q9e6UQh6d0c;4463;4590
507;kainourgia-logia;71;Voice;Violin;Percussion;Laouto;Guitar;Bass;;;Traditional;Epirotic;;;0;507;g4hypPA6D9Y;2228;2377
508;kainourgia-logia-2;63;Voice;Violin;Tambouras;Santouri;Percussion;Laouto;Klarino;Guitar;Traditional;Central-Greek;;;1;508;6ZDyC-wpRXM;6062;6226
509;kairo;67;Violin;Santouri;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;0;509;CPLOoAZonTI;42;262
510;kalabachtasiotikos-samou;24;Tsampouna;Percussion;;;;;;;Traditional;Nisiotiko;Aegean;;1;510;q9e6UQh6d0c;2813;2891
511;kalamatianos;69;Violin;Percussion;Laouto;Klarino;Guitar;;;;Traditional;Peloponnesian;;;1;511;G9DwnuVgsVs;6285;6398
512;kalanta-aiginas;45;Voice;Violin;Percussion;Ney;Lyra;Laouto;Kanonaki;Guitar;Traditional;Nisiotiko;Aegean;;0;512;Aws0Y3aLaIs;238;364
513;kalanta-encardia;66;Voice;Percussion;Guitar;Bass;Accordion;;;;Traditional;Southern-Italian;;;1;513;fooYiNew79E;3073;3221
514;kalanta-ipeirou;71;Voice;Percussion;;;;;;;Traditional;Epirotic;;;0;514;fooYiNew79E;3508;3611
515;kalanta-keas;46;Voice;Tsampouna;Percussion;;;;;;Traditional;Nisiotiko;Aegean;;0;515;Aws0Y3aLaIs;45;157
516;kalanta-kritis;72;Voice;Percussion;;;;;;;Traditional;Nisiotiko;Cretan;;0;516;fooYiNew79E;3282;3352
517;kalanta-kritis-2;72;Voice;Lyra;Laouto;;;;;;Traditional;Nisiotiko;Cretan;;0;517;Aws0Y3aLaIs;1336;1621
518;kalanta-makedonias;64;Voice;Violin;Santouri;Percussion;Ney;Lyra;Laouto;Kanonaki;Traditional;Macedonian;;;0;518;Aws0Y3aLaIs;417;504
519;kalanta-painemata-chiou;5;Voice;Violin;Santouri;Percussion;Ney;Lyra;Laouto;Kanonaki;Traditional;Nisiotiko;Aegean;;0;519;Aws0Y3aLaIs;768;970
520;kalanta-painemata-thrakis;62;Voice;Violin;Santouri;Percussion;Ney;Lyra;Laouto;Kanonaki;Traditional;Thracian;;;1;520;Aws0Y3aLaIs;504;594
521;kalanta-pontou;73;Voice;Percussion;Lyra;;;;;;Traditional;Pontian;;;0;521;Aws0Y3aLaIs;1622;1730
522;kalanta-protochronias;70;Voice;Violin;Mandolin;Laouto;Guitar;;;;Traditional;Nisiotiko;Ionian;;0;522;Aws0Y3aLaIs;5583;5675
523;kalanta-thrakis-xanthi;62;Voice;Violin;Percussion;Oud;Lyra;Floghera;Accordion;;Traditional;Thracian;;;0;523;fooYiNew79E;42;145
524;kalarfistikos;47;Voice;Lyra;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;1;524;4mMJSlECbh4;3681;3858
525;kale-sy-panagia-mou-2;67;Voice;Violin;Santouri;Percussion;Laouto;Klarino;Guitar;;Traditional;Nisiotiko;Aegean;;1;525;5z-ZGft2zCI;5801;5888
526;kale-sy-panagia-mou-4;13;Voice;Mandolin;Guitar;Bass;Accordion;;;;Traditional;Mikrasiatiko;;;0;526;VrnG_gxNwH8;2643;2854
527;kali-chronia-se-olous-dimitris-lagios-diaskevi-tragoudistades-tsi-zakynthos;23;Voice;Violin;Mandolin;Guitar;;;;;Traditional;Nisiotiko;Ionian;;0;527;Aws0Y3aLaIs;1963;2082
528;kali-kardia-kalo-krasi;;Voice;Guitar;Bouzouki;Baglamas;Accordion;;;;Rebetiko;;;;0;528;YEPmaDr_UMA;49;238
529;kalimerisma;6;Voice;;;;;;;;Traditional;Nisiotiko;Aegean;;0;529;-Lae0QmE15A;772;882
530;kalinifta;66;Voice;Violin;Guitar;Accordion;;;;;Traditional;Southern-Italian;Polyphonic;;0;530;l2gUntzxeVc;5183;5443
531;kalogria;;Voice;Violin;Santouri;Laouto;Kanonaki;Guitar;;;Rebetiko;;;;0;531;0cj8BNcAhg4;4388;4622
532;kalomoira-chasapikos;5;Violin;Percussion;Oud;Klarino;Kanonaki;;;;Traditional;Nisiotiko;Aegean;;1;532;J-PqcxTXtp4;4997;5213
533;kalon-koritsin;73;Voice;Percussion;Floghera;;;;;;Traditional;Pontian;;;1;533;VmaUraZpvI8;1759;1878
534;kalonychtia;71;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;0;534;qrOwc1mLFUk;927;1084
535;kalos-mas-irthe-i-anoixi-syrto-sta-tria;12;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;1;535;wFOvhBpFM1o;2012;2150
536;kalosorisma;4;Voice;;;;;;;;Traditional;Nisiotiko;Ionian;;0;536;t60GoECE0p8;42;244
537;kalymniki-sousta;6;Violin;Laouto;;;;;;;Traditional;Nisiotiko;Aegean;;1;537;-Lae0QmE15A;2121;2367
538;kamav-tout;;Voice;Violin;Tuba;Percussion;Guitar;Flute;Bassoon;;Traditional;Arrangement;;;0;538;2_xwDiunBrs;4303;4601
539;kanakaris;72;Voice;Tambouras;Guitar;;;;;;Traditional;Nisiotiko;Cretan;;0;539;e206O9UMfN0;5205;5420
540;kanaria;65;Voice;Violin;Santouri;Laouto;Guitar;;;;Traditional;Mikrasiatiko;;;0;540;CPLOoAZonTI;5699;5921
541;kapetan-antrea-zepo;;Voice;Guitar;Bouzouki;Bass;Accordion;;;;Laiko;;;;1;541;q9e6UQh6d0c;3685;3836
542;kapoia-mana-anastenazei;;Voice;Piano;Guitar;Bouzouki;Bass;Accordion;;;Rebetiko;;;;0;542;tzCMruLs9bM;1130;1318
543;kapoia-mana-anastenazei-vasilis-tsitanis-babis-bakalis;;Voice;Piano;Guitar;Bouzouki;Bass;Baglamas;Accordion;;Rebetiko;;;;0;543;L3fe3KGksU8;562;761
544;karaberia;71;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;1;544;ifRo_Z05kuQ;5591;5725
545;karagkouna;68;Violin;Percussion;Laouto;Klarino;;;;;Traditional;Thessalic;;;1;545;5z-ZGft2zCI;2373;2537
546;karagkouna-2;71;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;1;546;8gH9iexkXME;2975;3156
547;karapataki;71;Violin;Percussion;Laouto;Klarino;;;;;Traditional;Epirotic;;;0;547;8gH9iexkXME;43;287
548;karapataki-2;64;Trumpet;Trombone;Percussion;Klarino;;;;;Traditional;Macedonian;;;1;548;UaYoyQPZEuo;5399;5531
549;karapataki-kostas-fillipou;71;Violin;Percussion;Laouto;Klarino;Guitar;;;;Traditional;Epirotic;;;1;549;G9DwnuVgsVs;2693;2838
550;karapiperim;;Voice;Percussion;Guitar;Bouzouki;Bass;Accordion;;;Laiko;;;;1;550;pxhw04LZhiY;6335;6440
551;kardia-mou-papse-na-ponas;;Voice;Guitar;Bouzouki;Bass;Accordion;;;;Rebetiko;;;;0;551;GgGRYZMKezE;5060;5378
552;kardia-paraponiara;;Voice;Piano;Guitar;Bouzouki;Bass;Accordion;;;Rebetiko;;;;1;552;tzCMruLs9bM;2977;3202
553;kardiokleftra;13;Voice;Violin;Guitar;Cimbalom;Bass;Accordion;;;Urban-folk;Mikrasiatiko;;;0;553;TpK-XXFl51o;3530;3724
554;kardiokleftra-2;;Voice;Tuba;Percussion;Guitar;Flute;Bassoon;;;Rebetiko;Arrangement;;;0;554;k_U5rTSHIMo;5377;5591
555;kare-bate-noaptia-poios-chtypa-ti-nychta-sygkathistos;12;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;Vlachic;;1;555;wFOvhBpFM1o;3483;3576
556;karlovasitissa;24;Voice;Violin;Santouri;Laouto;Accordion;;;;Traditional;Nisiotiko;Aegean;;0;556;Uijl65qxrrg;1478;1760
557;karotseri-trava;;Voice;Percussion;Guitar;Bouzouki;Bass;Accordion;;;Rebetiko;;;;1;557;pxhw04LZhiY;4320;4523
558;karotseris;67;Violin;Santouri;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;1;558;jpktBKou-_E;4904;5055
559;karotseris-3;19;Violin;Santouri;Percussion;Laouto;Klarino;;;;Traditional;Mikrasiatiko;Politiko;;0;559;U6oWHEVNvfY;4721;4802
560;karsilamas-2;65;Percussion;Laouto;;;;;;;Traditional;Mikrasiatiko;;;0;560;tbbAWeVEHFQ;4071;4345
561;karsilamas-3;6;Voice;Violin;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;1;561;-Lae0QmE15A;4568;4728
562;karsilamas-4;48;Violin;Santouri;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;1;562;jpktBKou-_E;2746;2857
563;karsilamas-5;73;Zournas;Percussion;;;;;;;Traditional;Pontian;;;1;563;i6kJdvFwCoA;3917;4082
564;karsilamas-6;65;Voice;Violin;Santouri;Laouto;;;;;Traditional;Mikrasiatiko;;;1;564;Zy8tjrTf4sg;2295;2439
565;karsilamas-lesvou;2;Violin;Santouri;Guitar;Cimbalom;Bass;Accordion;;;Traditional;Nisiotiko;Aegean;;1;565;e5WVqHyTui4;2731;2895
566;karsilamas-vasilis-saleas;;Violin;Tsumbus;Percussion;Laouto;Klarino;;;;Traditional;;;;1;566;G9DwnuVgsVs;5849;5974
567;katergara-eirini;65;Voice;Violin;Guitar;Cimbalom;Bass;Accordion;;;Urban-folk;Mikrasiatiko;;;0;567;TpK-XXFl51o;4206;4304
568;kathe-limani-kai-kaimos;;Voice;Guitar;Bouzouki;Bass;Accordion;;;;Laiko;;;;0;568;ysRZQuuew_A;4005;4191
569;katifes;65;Voice;Violin;Percussion;Oud;Klarino;Guitar;Bass;;Traditional;Mikrasiatiko;;;1;569;g4hypPA6D9Y;3847;4062
570;katifes-2;67;Voice;Violin;Santouri;Laouto;Guitar;;;;Traditional;Nisiotiko;Aegean;;0;570;CPLOoAZonTI;2257;2441
571;kato-ap-to-svisto-fanari;;Voice;Guitar;Bouzouki;Accordion;;;;;Rebetiko;;;;0;571;GQoE6eVqP38;1475;1698
572;kato-choros-diavolos;5;Voice;Tsampouna;Percussion;;;;;;Traditional;Nisiotiko;Aegean;;1;572;_mUIVNdIJFU;4565;4688
573;kato-sta-exi-marmara;38;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;Polyphonic;;1;573;UaYoyQPZEuo;2474;2624
574;kato-sta-exi-marmara-2;38;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;0;574;qrOwc1mLFUk;1745;1947
575;kato-sta-lemonadika;;Voice;Percussion;Guitar;Bouzouki;Baglamas;;;;Rebetiko;;;;1;575;IzjFkYASGbY;951;1192
576;kato-sta-lemonadika-2;;Voice;Violin;Santouri;Laouto;Kanonaki;Guitar;;;Rebetiko;;;;0;576;0cj8BNcAhg4;1283;1534
577;kato-sta-perivolia;;Voice;Guitar;Bouzouki;;;;;;Traditional;Arrangement;;;0;577;vd8WTrc12Uo;5590;5765
578;kato-stin-aspri-plaka;29;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;1;578;niplI7Bv-30;3612;3860
